deployment_code,detection_start_datetime,detection_end_datetime,detection_effort_secs,detection_sound_source_code,organization_code,analysis_code,detection_call_type_code,detection_result_code
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T02:16:54Z,2024-09-23T02:28:12Z,679,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240820_RODEOHACK,2026-01-29T02:18:07Z,2024-08-25T02:29:06Z,659,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241006_RODEOHACK,2026-01-29T02:24:48Z,2024-10-08T02:33:54Z,547,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241028_RODEOHACK,2026-01-29T02:42:26Z,2024-11-03T02:42:27Z,2,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241120_RODEOHACK,2026-01-29T02:43:16Z,2024-11-26T03:20:53Z,2257,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241028_RODEOHACK,2026-01-29T02:49:03Z,2024-11-07T02:49:41Z,38,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T02:55:46Z,2024-10-29T03:00:22Z,275,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240913_RODEOHACK,2026-01-29T03:15:29Z,2024-09-14T03:26:58Z,689,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T03:20:55Z,2024-09-23T03:32:38Z,703,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241009_RODEOHACK,2026-01-29T03:23:17Z,2024-10-13T03:43:08Z,1191,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T03:31:04Z,2024-10-31T03:32:12Z,68,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240823_RODEOHACK,2026-01-29T03:56:13Z,2024-08-26T03:57:06Z,53,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240913_RODEOHACK,2026-01-29T04:20:57Z,2024-09-19T04:54:09Z,1992,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T04:22:24Z,2024-10-28T04:39:29Z,1026,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T04:24:11Z,2024-11-05T04:31:58Z,467,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T04:44:52Z,2024-11-05T04:46:32Z,101,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T04:55:49Z,2024-11-07T05:08:57Z,788,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240913_RODEOHACK,2026-01-29T04:55:52Z,2024-09-19T05:00:56Z,304,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T04:57:39Z,2024-09-19T04:58:25Z,46,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241123_RODEOHACK,2026-01-29T05:12:03Z,2024-12-01T05:39:12Z,1629,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T05:16:11Z,2024-09-19T05:51:26Z,2115,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T05:25:00Z,2024-09-22T05:25:59Z,59,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241026_RODEOHACK,2026-01-29T05:37:14Z,2024-11-07T05:57:18Z,1204,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T05:47:43Z,2024-09-23T05:59:46Z,723,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T05:49:35Z,2024-09-19T05:59:28Z,593,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241009_RODEOHACK,2026-01-29T05:51:19Z,2024-10-10T06:06:52Z,932,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T06:26:25Z,2024-09-21T06:39:40Z,795,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241006_RODEOHACK,2026-01-29T06:57:08Z,2024-10-09T06:57:11Z,2,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T07:16:47Z,2024-11-09T07:26:24Z,577,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T07:19:04Z,2024-11-08T07:29:44Z,641,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T07:24:43Z,2024-09-22T07:38:34Z,831,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T07:29:00Z,2024-09-22T07:45:34Z,994,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241005_RODEOHACK,2026-01-29T07:32:12Z,2024-10-06T07:42:22Z,610,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241006_RODEOHACK,2026-01-29T07:36:41Z,2024-10-08T07:53:35Z,1013,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T07:55:12Z,2024-11-02T07:55:20Z,8,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241111_RODEOHACK,2026-01-29T08:38:38Z,2024-11-16T08:43:22Z,284,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240913_RODEOHACK,2026-01-29T09:06:07Z,2024-09-19T09:06:13Z,6,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241026_RODEOHACK,2026-01-29T09:11:36Z,2024-11-02T09:35:46Z,1450,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240913_RODEOHACK,2026-01-29T09:15:16Z,2024-09-16T09:18:55Z,219,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241006_RODEOHACK,2026-01-29T09:37:43Z,2024-10-09T10:22:01Z,2658,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241026_RODEOHACK,2026-01-29T09:47:21Z,2024-11-07T10:02:49Z,928,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T09:52:14Z,2024-09-15T10:06:58Z,884,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T09:55:59Z,2024-09-17T09:57:05Z,66,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241006_RODEOHACK,2026-01-29T10:12:28Z,2024-10-09T10:25:10Z,762,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241111_RODEOHACK,2026-01-29T10:14:15Z,2024-11-14T10:14:46Z,31,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241006_RODEOHACK,2026-01-29T10:21:29Z,2024-10-11T10:29:47Z,497,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T10:35:32Z,2024-11-05T11:12:57Z,2245,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241006_RODEOHACK,2026-01-29T10:38:09Z,2024-10-07T10:54:09Z,960,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T11:06:01Z,2024-10-31T11:12:35Z,395,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T11:07:18Z,2024-10-27T11:07:22Z,4,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241111_RODEOHACK,2026-01-29T11:13:35Z,2024-11-15T11:13:38Z,2,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T11:14:27Z,2024-09-23T11:23:48Z,561,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241005_RODEOHACK,2026-01-29T11:37:46Z,2024-10-08T11:37:46Z,0,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241122_RODEOHACK,2026-01-29T11:39:41Z,2024-11-26T11:59:58Z,1217,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241006_RODEOHACK,2026-01-29T11:43:39Z,2024-10-07T11:44:02Z,23,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240913_RODEOHACK,2026-01-29T11:51:48Z,2024-09-20T12:08:34Z,1006,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241028_RODEOHACK,2026-01-29T12:02:36Z,2024-11-04T12:16:36Z,839,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T12:19:17Z,2024-09-15T12:19:59Z,42,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T12:29:34Z,2024-09-21T12:31:10Z,96,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T13:11:01Z,2024-09-18T13:16:37Z,336,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241120_RODEOHACK,2026-01-29T13:39:59Z,2024-11-30T13:40:05Z,5,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T13:45:39Z,2024-10-31T13:55:10Z,571,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241120_RODEOHACK,2026-01-29T14:13:19Z,2024-11-28T14:21:27Z,488,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T14:26:43Z,2024-10-29T15:30:30Z,3827,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T14:34:55Z,2024-09-22T14:36:30Z,95,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241006_RODEOHACK,2026-01-29T14:38:16Z,2024-10-11T14:38:44Z,28,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241028_RODEOHACK,2026-01-29T14:54:06Z,2024-11-03T14:55:28Z,82,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T15:08:22Z,2024-10-28T15:17:29Z,547,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240817_RODEOHACK,2026-01-29T15:09:39Z,2024-08-18T15:11:22Z,103,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T15:11:35Z,2024-09-20T15:12:41Z,66,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T15:15:21Z,2024-09-20T15:20:05Z,284,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240817_RODEOHACK,2026-01-29T15:18:18Z,2024-08-18T15:18:24Z,6,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240817_RODEOHACK,2026-01-29T15:23:03Z,2024-08-18T15:23:08Z,5,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T15:34:09Z,2024-09-14T15:39:17Z,308,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T15:38:58Z,2024-11-07T16:13:34Z,2076,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241028_RODEOHACK,2026-01-29T15:45:09Z,2024-10-29T15:47:47Z,158,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T15:55:09Z,2024-11-06T16:21:53Z,1603,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241026_RODEOHACK,2026-01-29T16:20:17Z,2024-11-06T16:52:13Z,1916,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T16:23:40Z,2024-11-02T16:24:17Z,37,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T16:30:02Z,2024-09-20T16:47:39Z,1057,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241111_RODEOHACK,2026-01-29T16:34:09Z,2024-11-12T16:50:51Z,1002,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241026_RODEOHACK,2026-01-29T16:41:00Z,2024-11-04T16:58:57Z,1077,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241005_RODEOHACK,2026-01-29T16:41:24Z,2024-10-10T16:57:17Z,953,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241026_RODEOHACK,2026-01-29T16:41:39Z,2024-11-07T16:51:26Z,587,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241111_RODEOHACK,2026-01-29T17:03:58Z,2024-11-14T17:10:15Z,377,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T17:13:25Z,2024-11-04T17:15:13Z,108,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241123_RODEOHACK,2026-01-29T17:18:18Z,2024-11-26T17:18:19Z,1,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T17:18:20Z,2024-11-06T17:21:57Z,217,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T17:24:32Z,2024-10-29T17:32:51Z,498,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240913_RODEOHACK,2026-01-29T17:43:24Z,2024-09-20T17:43:31Z,6,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T17:55:14Z,2024-10-27T18:09:59Z,884,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T18:18:18Z,2024-11-06T18:50:49Z,1950,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241123_RODEOHACK,2026-01-29T18:43:21Z,2024-11-25T18:58:17Z,896,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241005_RODEOHACK,2026-01-29T18:53:10Z,2024-10-06T18:53:17Z,7,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T19:01:58Z,2024-09-20T19:13:53Z,714,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240820_RODEOHACK,2026-01-29T19:18:05Z,2024-08-25T19:29:11Z,666,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241111_RODEOHACK,2026-01-29T19:19:06Z,2024-11-20T19:52:30Z,2005,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T19:21:42Z,2024-11-08T20:01:16Z,2374,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241111_RODEOHACK,2026-01-29T19:21:56Z,2024-11-13T19:21:58Z,1,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240821_RODEOHACK,2026-01-29T19:23:15Z,2024-08-24T19:35:49Z,754,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241026_RODEOHACK,2026-01-29T19:37:01Z,2024-10-27T20:05:23Z,1702,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T20:11:14Z,2024-09-16T20:26:52Z,938,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T20:18:58Z,2024-09-16T20:29:43Z,645,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T20:31:17Z,2024-11-04T21:02:12Z,1854,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241026_RODEOHACK,2026-01-29T20:36:48Z,2024-11-02T20:44:56Z,489,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T21:18:02Z,2024-10-27T21:46:53Z,1731,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240821_RODEOHACK,2026-01-29T21:26:50Z,2024-08-24T21:26:58Z,8,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T21:26:52Z,2024-09-16T21:39:19Z,747,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241123_RODEOHACK,2026-01-29T21:40:07Z,2024-11-24T22:00:42Z,1235,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241028_RODEOHACK,2026-01-29T21:54:45Z,2024-11-06T22:12:20Z,1055,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241122_RODEOHACK,2026-01-29T22:31:45Z,2024-11-28T22:38:05Z,381,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T22:41:57Z,2024-09-23T23:03:20Z,1283,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241005_RODEOHACK,2026-01-29T23:09:35Z,2024-10-10T23:10:48Z,73,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T23:15:46Z,2024-10-31T23:20:54Z,308,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T23:19:13Z,2024-09-22T23:26:18Z,425,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T23:37:14Z,2024-09-19T23:43:07Z,353,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241006_RODEOHACK,2026-01-29T23:52:56Z,2024-10-07T00:05:49Z,773,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241111_RODEOHACK,2026-01-29T23:58:20Z,2024-11-18T00:42:44Z,2664,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240823_RODEOHACK,2026-01-30T00:05:33Z,2024-08-28T00:25:23Z,1190,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241006_RODEOHACK,2026-01-30T00:19:11Z,2024-10-10T00:20:33Z,82,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241111_RODEOHACK,2026-01-30T00:19:58Z,2024-11-17T00:38:11Z,1093,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241005_RODEOHACK,2026-01-30T00:42:00Z,2024-10-10T01:01:31Z,1172,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-30T00:46:39Z,2024-11-05T00:48:41Z,121,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240821_RODEOHACK,2026-01-30T00:47:58Z,2024-08-27T00:48:01Z,3,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-30T00:52:21Z,2024-09-17T01:02:31Z,610,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241028_RODEOHACK,2026-01-30T01:23:02Z,2024-11-04T01:29:03Z,361,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241006_RODEOHACK,2026-01-30T01:26:55Z,2024-10-13T01:37:07Z,612,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-30T01:38:28Z,2024-11-07T01:45:39Z,431,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-30T01:43:44Z,2024-09-20T01:44:46Z,62,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240913_RODEOHACK,2026-01-30T01:55:29Z,2024-09-20T02:12:08Z,1000,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240913_RODEOHACK,2026-01-30T02:04:12Z,2024-09-15T02:20:54Z,1002,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
